timestamp_ms,heading_deg,rudder_angle_deg,awa_deg,unmanned_status
48988,262,0,55,False
49113,262,-9,54,False
49221,262,-29,53,False
49328,263,-31,55,False
49417,262,-31,53,False
49525,262,-31,54,False
49614,263,-31,54,False
49721,262,-31,53,False
49829,262,-31,55,False
49918,262,-31,53,False
50025,263,-31,54,False
50115,262,-31,54,False
50222,262,-31,53,False
50329,262,-31,55,False
50419,262,-31,53,False
50526,262,-31,54,False
50616,262,-31,54,False
50723,262,-31,54,False
50831,262,-31,54,False
50920,262,-31,53,False
51027,262,-32,55,False
51117,262,-31,53,False
51224,262,-31,54,False
51332,262,-31,54,False
51421,262,-31,54,False
51528,263,-31,55,False
51618,262,-31,53,False
51725,262,-31,55,False
51833,262,-31,54,False
51922,262,-31,54,False
52029,262,-31,55,False
52119,262,-32,53,False
52226,262,-31,55,False
52333,262,-31,54,False
52423,262,-31,53,False
52530,262,-31,57,False
52619,262,-31,51,False
52727,262,-31,57,False
52816,262,-31,50,False
52924,262,-31,50,False
53031,262,-31,59,False
53120,263,-31,49,False
53228,262,-31,60,False
53317,262,-31,48,False
53425,262,-32,57,False
53532,262,-31,54,False
53622,262,-31,54,False
53729,262,-31,54,False
53819,262,-31,53,False
53926,262,-31,55,False
54015,262,-31,51,False
54123,262,-31,54,False
54230,263,-31,54,False
54320,263,-31,53,False
54427,262,-31,55,False
54517,262,-31,51,False
54624,263,-31,57,False
54731,262,-31,54,False
54821,263,-31,53,False
54928,263,-32,54,False
55018,262,-31,52,False
55125,262,-31,57,False
55232,263,-31,53,False
55322,263,-31,53,False
55429,262,-31,56,False
55519,262,-31,48,False
55626,262,-31,61,False
55733,262,-31,52,False
55823,263,-31,54,False
55930,263,-31,60,False
56019,262,-31,49,False
56127,262,-31,61,False
56234,262,-31,49,False
56324,263,-31,58,False
56431,262,-31,59,False
56520,262,-31,49,False
56628,263,-31,61,False
56735,262,-31,48,False
56824,263,-32,61,False
56932,262,-31,55,False
57021,262,-31,52,False
57129,262,-31,60,False
57236,262,-31,48,False
57325,263,-31,61,False
57433,262,-32,51,False
57522,263,-31,57,False
57630,262,-31,59,False
57737,263,-32,48,False
57826,262,-31,61,False
57934,262,-31,48,False
58023,262,-31,60,False
58130,262,-31,57,False
58238,262,-32,49,False
58327,263,-31,61,False
58435,263,-31,48,False
58524,262,-31,62,False
58631,262,-31,53,False
58739,262,-31,49,False
58828,262,-31,61,False
58935,263,-31,48,False
59025,262,-31,61,False
59132,263,-31,50,False
59222,262,-31,58,False
59329,262,-31,60,False
59436,262,-31,48,False
59526,262,-31,61,False
59633,262,-31,48,False
59722,262,-31,61,False
59830,263,-31,56,False
59937,262,-31,48,False
60027,262,-31,62,False
60134,262,-31,46,False
60224,262,-31,63,False
60331,263,-31,52,False
60438,263,-31,49,False
60528,263,-31,61,False
60635,262,-31,48,False
60725,262,-32,62,False
60832,262,-32,310,False
60939,263,-31,302,False
61029,264,-32,301,False
61136,266,-31,302,False
61226,266,-31,303,False
61333,268,-31,303,False
61422,269,-31,303,False
61530,273,-31,304,False
61637,276,-31,303,False
61727,278,-31,306,False
61834,280,-32,286,False
61923,282,-31,20,False
62031,283,-31,54,False
62138,283,-31,74,False
62227,283,-31,72,False
62335,282,-32,68,False
62424,282,-31,67,False
62532,283,-31,62,False
62639,283,-31,52,False
62728,283,-31,44,False
62836,285,-32,45,False
62925,285,-31,51,False
63033,285,-31,56,False
63140,284,-32,55,False
63229,284,-31,55,False
63337,283,-31,53,False
63426,284,-31,52,False
63533,283,-31,53,False
63641,283,-31,51,False
63730,283,-31,51,False
63838,283,-31,51,False
63927,282,-31,51,False
64034,283,-31,51,False
64142,283,-31,50,False
64231,282,-31,50,False
64339,282,-31,50,False
64428,282,-32,50,False
64535,281,-31,49,False
64643,281,-31,49,False
64732,281,-31,50,False
64840,281,-31,49,False
64929,281,-31,49,False
65036,280,-31,49,False
65144,280,-31,49,False
65233,280,-31,49,False
65340,280,-31,48,False
65430,280,-31,45,False
65537,280,-32,45,False
65644,280,-31,45,False
65734,280,-31,45,False
65841,280,-31,45,False
65931,280,-31,45,False
66038,280,-31,45,False
66145,280,-31,45,False
66235,280,-31,45,False
66342,280,-32,45,False
66431,280,-31,44,False
66539,280,-31,44,False
66646,280,-31,44,False
66735,280,-32,44,False
66843,280,-31,45,False
66932,280,-31,45,False
67039,280,-31,45,False
67147,280,-31,45,False
67236,280,-31,45,False
67343,280,-31,45,False
67433,280,-31,45,False
67540,280,-31,45,False
67647,280,-31,44,False
67737,280,-32,45,False
67844,280,-31,45,False
67933,280,-32,45,False
68041,280,-31,45,False
68148,280,-31,45,False
68237,280,-31,44,False
68345,280,-31,45,False
68434,280,-31,45,False
68541,280,-31,44,False
68649,280,-32,45,False
68738,280,-31,45,False
68845,280,-31,44,False
68935,280,-31,45,False
69042,280,-31,44,False
69149,280,-31,44,False
69239,280,-31,44,False
69346,280,-31,45,False
69436,280,-31,45,False
69543,280,-31,45,False
69650,280,-31,44,False
69740,280,-31,45,False
69847,280,-31,45,False
69936,280,-31,44,False
70044,280,-31,44,False
70151,280,-31,45,False
70240,280,-31,44,False
70348,280,-32,44,False
70437,280,-32,45,False
70544,280,-31,44,False
70651,280,-31,45,False
70741,280,-31,45,False
70848,280,-31,45,False
70938,280,-31,45,False
71045,280,-31,45,False
71152,280,-31,44,False
71242,280,-31,45,False
71349,280,-31,45,False
71438,280,-31,45,False
71546,280,-31,45,False
71653,280,-32,45,False
71742,280,-31,45,False
71850,280,-31,44,False
71939,280,-31,44,False
72046,280,-31,44,False
72154,280,-31,45,False
72243,280,-31,44,False
72350,280,-32,45,False
72440,280,-32,45,False
72547,280,-31,44,False
72637,280,-31,45,False
72744,280,-31,44,False
72851,280,-31,45,False
72941,280,-31,45,False
