timestamp_ms,heading_deg,rudder_angle_deg,awa_deg,unmanned_status
48552,274,0,26,False
48677,274,0,26,False
48784,274,0,26,False
48892,274,0,26,False
48981,274,0,26,False
49089,274,-1,26,False
49178,274,-1,26,False
49286,274,1,26,False
49393,274,0,26,False
49483,274,1,26,False
49590,274,1,26,False
49680,274,1,26,False
49787,274,1,26,False
49894,274,1,26,False
49984,274,0,26,False
50091,274,1,26,False
50180,274,1,26,False
50288,274,1,26,False
50395,274,1,26,False
50485,274,1,26,False
50592,274,1,26,False
50682,274,0,26,False
50789,274,1,26,False
50879,274,1,26,False
50986,274,1,26,False
51094,274,0,26,False
51183,274,5,26,False
51291,274,22,26,False
51380,274,29,26,False
51487,274,29,26,False
51595,274,24,26,False
51684,274,22,26,False
51791,274,8,26,False
51881,274,2,26,False
51988,274,2,26,False
52095,274,2,26,False
52185,274,2,26,False
52292,274,2,26,False
52381,274,2,26,False
52489,274,1,26,False
52596,274,2,26,False
52685,274,2,25,False
52792,274,-1,26,False
52882,274,-5,26,False
52989,274,-22,26,False
53097,274,-24,26,False
53186,274,-26,26,False
53294,274,-27,25,False
53383,274,-23,26,False
53491,274,-19,26,False
53580,274,-19,26,False
53688,274,-19,26,False
53795,274,-7,26,False
53885,274,0,26,False
53992,274,0,26,False
54082,274,1,26,False
54189,274,1,26,False
54296,274,0,26,False
54386,274,0,26,False
54493,274,1,26,False
54583,274,0,26,False
54690,274,0,26,False
54798,274,1,26,False
54888,274,0,25,False
54995,274,0,26,False
55085,274,0,26,False
55192,274,1,26,False
55282,274,1,26,False
55389,273,0,25,False
55496,274,0,26,False
55586,274,0,26,False
55693,274,1,26,False
55783,274,0,25,False
55890,274,0,26,False
55998,274,0,26,False
56087,274,0,26,False
56195,274,0,26,False
56284,274,0,25,False
56392,274,-1,26,False
56499,274,4,26,False
56589,274,15,26,False
56696,274,26,26,False
56786,274,28,26,False
56893,274,28,26,False
57001,274,28,26,False
57090,274,28,26,False
57198,274,28,25,False
57287,274,24,26,False
57395,274,10,26,False
57502,274,2,26,False
57592,274,1,26,False
57699,274,2,26,False
57789,274,0,26,False
57896,274,-11,26,False
57986,274,-28,26,False
58093,274,-30,26,False
58200,274,-30,26,False
58290,274,-31,26,False
58397,274,-28,26,False
58487,274,-23,26,False
58594,274,-3,26,False
58701,274,1,26,False
58791,274,4,26,False
58898,274,7,26,False
58988,274,14,26,False
59095,274,25,26,False
59202,274,29,26,False
59292,274,28,26,False
59399,274,28,26,False
59488,274,28,26,False
59596,274,26,26,False
59703,274,17,26,False
59793,274,4,25,False
59900,274,3,25,False
59989,274,2,26,False
60097,274,3,26,False
60204,274,-3,26,False
60294,274,-25,26,False
60401,274,-30,26,False
60490,274,-31,26,False
60598,274,-30,26,False
60705,274,-28,26,False
60794,274,-22,26,False
60902,274,-4,26,False
60991,274,0,26,False
61099,274,8,26,False
61206,274,22,26,False
61295,274,27,26,False
61403,274,28,26,False
61492,274,28,26,False
61599,274,28,25,False
61689,274,27,26,False
61796,274,2,26,False
61904,274,-1,26,False
61993,274,0,26,False
62100,274,-1,26,False
62190,274,-2,26,False
62297,274,0,26,False
62404,274,1,26,False
62494,274,0,25,False
62601,274,1,26,False
62691,274,1,26,False
62797,274,1,26,True
62905,274,0,26,True
