timestamp_ms,heading_deg,rudder_angle_deg,awa_deg,unmanned_status
49962,299,1,14,False
50087,299,-10,14,False
50194,299,-28,14,False
50284,299,-30,14,False
50391,299,-30,14,False
50499,299,-30,14,False
50588,299,-30,14,False
50695,299,-30,14,False
50802,300,-30,14,False
50892,300,-30,14,False
50999,300,-29,14,False
51088,299,-30,14,False
51196,299,-30,14,False
51303,300,-30,14,False
51393,300,-29,14,False
51500,299,-30,14,False
51589,299,-30,14,False
51697,300,-30,14,False
51786,299,-30,14,False
51894,299,-30,14,False
52001,299,-30,14,False
52090,299,-30,14,False
52198,300,-30,14,False
52287,299,-30,14,False
52395,299,-31,14,False
52502,299,-30,14,False
52591,299,-30,14,False
52699,299,-30,14,False
52788,299,-30,14,False
52895,299,-30,14,False
53003,300,-30,14,False
53092,300,-30,14,False
53200,299,-30,14,False
53289,300,-30,14,False
53396,299,-30,14,False
53504,299,-30,14,False
53593,299,-30,14,False
53701,299,-30,14,False
53790,299,-30,14,False
53897,299,-30,14,False
54005,299,-30,14,False
54094,299,-29,14,False
54202,299,-30,14,False
54291,299,-30,14,False
54398,299,-30,14,False
54506,299,-30,14,False
54595,299,-30,14,False
54702,300,-30,14,False
54792,299,-30,14,False
54899,299,-30,14,False
55006,300,-30,14,False
55096,299,-30,14,False
55203,299,-30,14,False
55292,300,-30,14,False
55399,299,-30,14,False
55507,299,-30,14,False
55596,299,-30,14,False
55704,299,-29,14,False
55793,299,-30,14,False
55900,299,-30,14,False
55990,299,-30,14,False
56097,299,-30,14,False
56205,300,-30,14,False
56294,299,-30,14,False
56401,299,-30,14,False
56491,299,-30,14,False
56598,299,-30,14,False
56706,299,-30,14,False
56795,299,-30,14,False
56902,299,-30,15,False
56992,299,-30,14,False
57099,300,-29,14,False
57207,299,-31,14,False
57296,299,-30,14,False
57403,299,-30,14,False
57493,299,-30,14,False
57600,299,-30,14,False
57708,299,-30,14,False
57797,299,-30,14,False
57905,299,-30,14,False
57994,299,-30,14,False
58101,299,-29,14,False
58209,299,-30,14,False
58298,299,-29,14,False
58406,299,-30,14,False
58495,299,-30,14,False
58602,299,-30,14,False
58692,299,-30,14,False
58799,299,-30,14,False
58907,299,-30,14,False
58996,299,-30,14,False
59104,299,-30,14,False
59193,299,-30,14,False
59300,299,-30,14,False
59408,299,-30,14,False
59497,299,-30,14,False
59604,299,-30,14,False
59694,299,-29,14,False
59801,299,-30,14,False
59909,299,-30,14,False
59998,300,-30,14,False
60105,299,-30,14,False
60195,299,-30,14,False
60302,299,-30,14,False
60410,299,-30,14,False
60499,299,-30,14,False
60606,299,-30,14,False
60696,299,-30,14,False
60803,299,-30,14,False
60893,299,-30,14,False
61000,300,-30,14,False
61107,299,-30,14,False
61197,299,-30,14,False
61304,299,-30,14,False
61394,299,-30,14,False
61501,299,-30,14,False
61608,299,-30,14,False
61698,299,-28,14,False
61805,299,-30,14,False
61895,299,-30,14,False
62002,299,-30,14,False
62109,300,-30,14,False
62199,299,-31,14,False
62306,299,-30,14,False
62396,299,-30,14,False
62503,300,-30,14,False
62610,299,-30,14,False
62700,299,-30,14,False
62807,299,-29,14,False
62897,299,-30,14,False
63004,299,-30,14,False
63111,299,-30,14,False
63201,300,-30,14,False
63308,299,-30,14,False
63397,299,-30,14,False
63505,299,-30,14,False
63612,299,-30,14,False
63702,299,-30,14,False
63809,299,-30,14,False
63898,299,-30,14,False
64006,299,-30,14,False
64113,299,-30,14,False
64202,299,-30,14,False
64310,299,-30,14,False
64399,299,-30,14,False
64507,299,-30,14,False
64614,299,-30,14,False
64703,299,-30,14,False
64811,299,-30,14,False
64900,299,-30,14,False
65007,300,-30,14,False
65097,299,-30,14,False
65204,299,-30,14,False
65312,299,-30,14,False
65401,299,-30,14,False
65508,300,-30,14,False
65598,299,-30,14,False
65705,299,-30,14,False
65813,299,-30,14,False
65902,299,-30,14,False
66009,299,-30,14,False
66099,299,-30,14,False
66206,299,-30,14,False
66314,299,-30,14,False
66403,299,-30,14,False
66511,299,-30,14,False
66600,299,-30,14,False
66707,299,-30,14,False
66815,299,-30,14,False
66904,299,-30,14,False
67012,300,-30,14,False
67101,299,-30,14,False
67208,299,-29,14,False
67316,299,-30,14,False
67405,299,-29,14,False
67513,299,-30,14,False
67602,299,-30,14,False
67709,299,-30,14,False
67817,299,-30,14,False
67906,299,-30,14,False
68014,300,-30,14,False
68103,299,-30,14,False
68210,299,-30,14,False
68318,300,-30,14,False
68407,299,-30,14,False
68515,299,-30,14,False
68604,299,-30,14,False
68711,299,-30,14,False
68819,299,-30,14,False
68908,300,-30,14,False
69016,299,-30,14,False
69105,299,-30,14,False
69212,299,-30,14,False
69320,299,-30,14,False
69409,299,-30,15,False
69517,299,-30,14,False
69606,299,-29,14,False
69714,300,-29,14,False
69821,299,-30,14,False
69910,299,-30,14,False
70018,299,-30,14,False
70107,299,-30,14,False
70215,299,-30,14,False
70322,299,-30,14,False
70411,299,-30,14,False
70519,300,-30,14,False
70608,299,-31,14,False
70716,299,-29,14,False
70823,300,-30,14,False
70912,300,-30,14,False
71020,299,-31,14,False
71109,299,-30,14,False
71217,299,-30,14,False
71306,300,-30,14,False
71413,299,-30,14,False
71521,300,-30,14,False
71610,299,-30,14,False
71718,300,-30,14,False
71807,299,-30,14,False
71915,299,-30,14,False
72022,300,-29,14,False
72111,299,-30,14,False
72219,299,-30,14,False
72308,300,-30,14,False
72416,299,-29,14,False
72523,299,-30,14,False
72612,299,-30,14,False
72720,300,-30,14,False
72809,299,-30,14,False
72916,300,-30,14,False
73024,299,-30,14,False
73113,299,-30,14,False
73221,299,-30,14,False
73310,299,-30,14,False
73418,299,-30,14,False
73525,299,-30,14,False
73614,299,-29,14,False
73722,299,-30,14,False
73811,299,-30,14,False
73919,299,-30,14,False
74008,299,-30,14,False
74115,299,-30,14,False
74223,299,-30,14,False
74312,300,-30,14,False
74420,299,-30,14,False
74509,300,-30,14,False
74616,299,-30,14,False
74724,299,-30,14,False
74813,299,-30,14,False
74921,299,-30,14,False
75010,299,-30,14,False
75117,299,-30,15,False
75225,300,-30,14,False
75314,300,-30,14,False
75421,299,-30,14,False
75511,299,-30,14,False
75618,300,-30,14,False
75725,299,-30,14,False
75815,300,-30,14,False
75922,300,-30,14,False
76012,299,-30,14,False
76119,299,-30,14,False
76226,300,-30,14,False
76316,300,-30,14,False
76423,300,-29,14,False
76513,299,-30,14,False
76620,300,-30,14,False
76727,299,-30,14,False
76817,299,-30,14,False
76924,299,-30,14,False
77014,300,-30,14,False
77121,300,-30,14,False
77229,299,-30,14,False
77318,299,-30,14,False
77425,299,-30,14,False
77515,299,-30,14,False
77622,299,-30,14,False
77712,300,-29,15,False
77819,299,-30,14,False
77926,299,-30,14,False
78016,299,-30,14,False
78123,299,-30,14,False
78213,299,-30,14,False
78320,299,-30,14,False
78428,300,-30,14,False
78517,299,-30,14,False
78624,299,-30,14,False
78714,299,-30,14,False
78821,299,-30,14,False
78929,300,-30,14,False
79018,300,-30,14,False
