timestamp_ms,heading_deg,rudder_angle_deg,awa_deg,unmanned_status
61963,229,0,307,False
62088,229,0,307,False
62196,229,-1,307,False
62303,229,-2,307,False
62393,229,0,307,False
62500,230,-1,307,False
62590,229,-1,307,False
62697,229,0,307,False
62805,229,0,307,False
62895,229,0,307,False
63002,229,0,307,False
63092,229,0,307,False
63199,229,0,307,False
63307,229,0,307,False
63397,229,0,307,False
63504,229,0,307,False
63594,229,0,307,False
63701,229,0,307,False
63791,229,0,307,False
63898,230,0,307,False
64006,229,0,307,False
64096,229,0,307,False
64203,229,1,307,False
64293,229,0,307,False
64400,229,0,307,False
64508,229,0,307,False
64597,229,0,307,False
64705,229,0,307,False
64794,229,0,307,False
64902,229,1,307,False
65009,229,6,307,False
65099,230,16,307,False
65207,230,24,307,False
65296,229,27,307,False
65404,229,26,307,False
65493,229,27,307,False
65601,229,25,307,False
65709,229,15,307,False
65798,229,7,307,False
65906,229,-23,307,False
65995,229,-30,307,False
66103,229,-30,307,False
66211,229,-31,307,False
66300,229,-29,307,False
66408,229,-1,307,False
66497,229,21,307,False
66605,229,27,307,False
66695,229,26,307,False
66802,229,26,307,False
66910,229,20,307,False
66999,229,6,307,False
67107,229,-23,307,False
67197,229,-31,307,False
67304,229,-31,307,False
67412,229,-31,307,False
67501,229,-28,307,False
67609,229,0,307,False
67698,229,23,307,False
67806,229,27,307,False
67913,229,26,307,False
68003,229,27,307,False
68110,229,26,307,False
68200,229,26,307,False
68308,229,27,307,False
68415,229,22,307,False
68505,229,7,308,False
68612,229,6,307,False
68702,229,6,307,False
68810,229,2,307,False
68917,229,1,307,False
69007,229,2,307,False
69114,229,1,307,False
69204,229,1,307,False
69312,230,-1,307,False
69401,229,-2,307,False
69509,229,-27,307,False
69617,229,-31,307,False
69706,229,-31,307,False
69814,229,-31,307,False
69904,229,-31,307,False
70011,229,-31,307,False
70101,229,-30,307,False
70209,229,-17,307,False
70316,229,0,307,False
70406,229,0,307,False
70513,230,0,307,False
70603,229,0,307,False
70710,230,4,308,False
70818,229,14,307,False
70908,230,24,307,False
71015,229,28,307,False
71105,229,28,307,False
71213,229,27,307,False
71302,229,27,307,False
71410,229,28,307,False
71518,230,23,307,False
71607,229,14,307,False
71715,229,3,307,False
71805,229,1,307,False
71912,229,2,307,False
72020,229,-4,307,False
72109,229,-17,307,False
72217,229,-30,307,False
72307,229,-30,307,False
72414,229,-30,307,False
72522,229,-31,307,False
72611,229,-28,307,False
72719,229,-1,307,False
72809,229,13,307,False
72916,229,2,307,False
73006,229,1,307,False
73114,229,6,307,False
73221,229,18,307,False
73311,229,25,307,False
73418,230,27,307,False
73508,229,27,307,False
73616,229,28,307,False
73705,229,24,307,False
73813,229,13,307,False
73921,229,1,307,False
74010,229,0,307,False
74118,229,0,307,False
74207,229,-1,307,False
74315,229,-22,308,False
74423,230,-31,307,False
74512,230,-31,307,False
74620,229,-30,307,False
74709,229,-25,307,False
74817,229,-8,307,False
74906,229,5,307,False
75014,229,5,307,False
75121,229,10,307,False
75211,229,20,307,False
75318,229,26,307,False
75408,229,27,307,False
75515,230,27,307,False
75623,229,27,307,False
75713,229,27,307,False
75820,229,8,307,False
75910,229,2,307,False
76017,229,2,307,False
76125,229,2,307,False
76214,229,2,307,False
76322,229,1,307,False
76411,229,1,307,False
76519,229,0,308,False
76608,230,-6,307,False
76716,230,-19,307,False
76823,229,-30,307,False
76913,229,-31,307,False
77020,229,-30,307,False
77110,229,-31,307,False
77217,229,-26,307,False
77325,229,-9,307,False
77415,229,0,307,False
77522,229,-1,307,False
77612,230,-1,307,False
77719,230,0,307,False
77827,229,0,307,False
77917,229,0,307,False
78024,229,0,307,False
78114,229,0,307,False
78221,229,0,307,False
78311,229,0,308,False
78419,229,0,307,False
78526,230,0,307,False
78616,229,5,307,False
78723,229,22,307,False
78813,229,27,307,False
78921,229,28,307,False
79028,229,27,307,False
79118,229,28,307,False
79225,229,25,308,False
79315,229,19,307,False
79423,229,2,307,False
79530,229,2,307,False
79620,229,1,307,False
79727,229,2,307,False
79817,229,1,307,False
79925,229,2,307,False
80014,229,2,307,False
80122,229,1,307,False
80229,229,1,307,False
80319,229,1,307,False
80427,229,1,307,False
80516,229,1,307,False
80624,229,1,307,False
80714,230,1,307,False
80821,229,1,307,False
80929,230,1,307,False
81018,230,2,307,False
81126,229,1,307,False
81216,229,2,307,False
81323,229,2,307,False
81431,229,2,307,False
81520,229,1,307,False
81628,230,1,307,False
81718,229,1,307,False
81825,229,1,307,False
81915,229,1,307,False
82021,229,1,307,True
82129,229,-2,307,True
82219,229,-25,307,True
82326,229,-31,307,True
82416,229,-31,307,True
82523,229,-30,307,True
82631,229,-30,307,True
82721,229,-31,307,True
82828,229,-31,307,True
82918,229,-31,307,True
83025,229,-31,307,True
83115,229,-31,307,True
83223,229,-31,307,True
83330,229,-31,307,True
83420,229,-31,307,True
83528,229,-31,307,True
83617,229,-31,307,True
83725,229,-31,307,True
83832,229,-30,307,True
83922,229,-30,307,True
84030,229,-31,307,True
84119,229,-31,307,True
84227,229,-31,307,True
84317,229,-30,307,True
84424,229,-31,307,True
84532,229,-31,307,True
84621,229,-31,307,True
84729,229,-31,307,True
84819,229,-31,307,True
84926,229,-31,307,True
85034,229,-31,307,True
85124,229,-31,307,True
85231,229,-31,307,True
85321,229,-31,308,True
85428,229,-31,307,True
85536,229,-31,307,True
85626,230,-31,307,True
85733,229,-31,307,True
85823,229,-31,308,True
85931,229,-31,307,True
86020,229,-31,307,True
86128,229,-31,307,True
86235,229,-31,307,True
86325,229,-31,307,True
86433,230,-31,307,True
86522,229,-31,307,True
86630,229,-31,308,True
86737,230,-31,308,True
86827,230,-31,308,True
86935,230,-31,307,True
87024,230,-31,305,True
87132,230,-31,301,True
87222,229,-31,292,True
87329,227,-31,289,True
87437,225,-31,293,True
