timestamp_ms,heading_deg,rudder_angle_deg,awa_deg,unmanned_status
685886,317,1,275,False
686012,318,2,275,False
686119,317,2,275,False
686227,317,2,275,False
686316,317,0,275,False
686424,317,-1,275,False
686531,317,0,275,False
686621,317,0,275,False
686728,317,0,275,False
686817,317,0,275,False
686925,317,0,275,False
687032,317,0,275,False
687122,317,0,275,False
687229,317,0,276,False
687319,317,1,275,False
687426,316,0,275,False
687516,317,1,275,False
687623,317,0,275,False
687731,316,0,275,False
687821,317,0,275,False
687928,317,0,275,False
688018,317,0,275,False
688125,317,0,275,False
688233,317,0,275,False
688322,317,0,275,False
688430,317,0,276,False
688519,316,4,275,False
688627,316,20,275,False
688734,317,26,275,False
688824,317,27,275,False
688931,317,27,275,False
689021,317,27,275,False
689128,317,27,275,False
689236,317,27,275,False
689325,317,25,275,False
689433,317,7,275,False
689540,317,-2,275,False
689629,317,-5,275,False
689737,317,-23,275,False
689826,317,-27,275,False
689934,317,-29,275,False
690023,317,-30,275,False
690131,317,-28,275,False
690238,317,-27,275,False
690328,317,-23,275,False
690435,317,-4,275,False
690525,317,7,275,False
690632,317,19,276,False
690740,317,28,275,False
690829,317,27,275,False
690937,317,28,275,False
691027,316,28,275,False
691134,317,28,275,False
691224,317,27,275,False
691331,317,10,275,False
691438,317,-3,275,False
691528,317,-17,275,False
691635,317,-26,275,False
691725,317,-29,275,False
691832,317,-29,275,False
691940,316,-27,275,False
692029,316,-21,275,False
692137,317,-1,275,False
692226,316,14,274,False
692334,317,26,275,False
692441,317,29,275,False
692531,317,28,275,False
692638,317,28,275,False
692728,317,26,275,False
692835,317,9,275,False
692925,317,-1,275,False
693032,317,-27,275,False
693140,316,-30,275,False
693229,316,-29,275,False
693336,317,-28,276,False
693426,317,-18,275,False
693533,317,3,275,False
693641,317,25,275,False
693730,316,28,275,False
693838,316,28,275,False
693927,317,28,275,False
694035,317,26,275,False
694124,317,20,275,False
694232,317,5,275,False
694339,317,-1,275,False
694429,317,-9,275,False
694536,316,-28,275,False
694626,317,-26,275,False
694733,317,-14,275,False
694840,317,-4,275,False
694930,317,0,275,False
695037,317,0,275,False
695127,317,0,275,False
695234,317,0,275,False
695341,316,0,275,False
695431,317,0,275,False
695538,317,0,275,False
695628,317,0,275,False
695735,317,0,274,False
695843,316,0,275,False
695932,317,0,275,False
696040,317,0,275,False
696129,317,0,275,False
696237,317,0,275,False
696326,317,0,275,False
696434,317,0,275,False
696541,317,0,275,False
696631,316,0,275,False
696738,316,0,275,False
696828,317,0,275,False
696935,317,0,275,False
697043,317,0,275,False
697132,317,0,275,False
697240,316,0,275,False
697329,317,0,276,False
697437,317,0,275,False
697526,317,0,275,False
697634,317,-3,275,False
697741,317,-28,275,False
697831,317,-30,275,False
697938,317,-29,275,False
698028,317,-30,275,False
698135,317,-30,275,False
698243,317,-25,275,False
698333,317,-7,275,False
698440,317,9,275,False
698530,317,22,275,False
698637,317,28,275,False
698727,317,28,275,False
698834,317,28,275,False
698942,317,27,275,False
